"","runner","age","net"
"1","1",53,83.98333333
"2","1",54,74.3
"3","1",55,75.15
"4","1",56,74.21666667
"5","1",57,74.25
"6","2",52,82.66666667
"7","2",53,80.03333333
"8","2",54,88.11666667
"9","2",55,80.93333333
"10","2",56,88.1
"11","3",51,89.38333333
"12","3",52,89.23333333
"13","3",53,89.71666667
"14","3",54,88.68333333
"15","3",55,97.55
"16","3",56,85.05
"17","4",53,98.45
"18","4",54,101.5833333
"19","4",55,109.05
"20","4",56,100.05
"21","4",58,106.1
"22","5",51,76.23333333
"23","5",52,71.28333333
"24","5",53,76.86666667
"25","5",54,68.53333333
"26","5",56,82.01666667
"27","5",57,83.78333333
"28","6",55,72.86666667
"29","6",58,77.5
"30","6",59,80.93333333
"31","6",61,78.31666667
"32","7",51,96.26666667
"33","7",52,99.05
"34","7",53,104.3833333
"35","7",54,107.9
"36","7",55,100.5
"37","8",53,99.5
"38","8",54,104.1666667
"39","8",55,102.7333333
"40","8",58,111.0833333
"41","9",55,96.48333333
"42","9",56,94.18333333
"43","9",57,94.98333333
"44","9",58,113.2666667
"45","9",61,105.0333333
"46","10",54,121
"47","10",55,107.35
"48","10",56,110.6666667
"49","10",57,118.05
"50","10",59,131
"51","11",52,79.86666667
"52","11",53,83.6
"53","11",54,87.13333333
"54","11",55,97.75
"55","11",56,98.91666667
"56","12",53,67.5
"57","12",54,68.45
"58","12",55,70.18333333
"59","12",56,80.93333333
"60","12",57,71.78333333
"61","13",53,77.43333333
"62","13",54,82.1
"63","13",55,80.18333333
"64","13",56,79.5
"65","13",57,91.9
"66","14",53,98.4
"67","14",54,102.5833333
"68","14",55,97.75
"69","14",56,94.56666667
"70","14",57,89.95
"71","14",58,96.21666667
"72","14",59,97.48333333
"73","15",52,96.8
"74","15",53,88.36666667
"75","15",54,100.1833333
"76","15",55,96.51666667
"77","15",56,98.43333333
"78","16",52,98.3
"79","16",53,92.31666667
"80","16",54,89.85
"81","16",55,96.68333333
"82","16",57,92.35
"83","17",52,78.41666667
"84","17",53,110.2333333
"85","17",54,91.78333333
"86","17",55,123.9833333
"87","17",57,95.86666667
"88","18",52,96.88333333
"89","18",53,106.1166667
"90","18",54,99.46666667
"91","18",56,103.9166667
"92","19",54,81.9
"93","19",55,86.96666667
"94","19",56,79.86666667
"95","19",58,83.86666667
"96","20",52,104.1166667
"97","20",53,97.48333333
"98","20",54,105.2
"99","20",55,112.8833333
"100","20",56,120.4666667
"101","21",53,83
"102","21",54,83.53333333
"103","21",55,82.11666667
"104","21",56,85.95
"105","21",57,92.4
"106","21",58,89.58333333
"107","22",52,83.23333333
"108","22",53,88.06666667
"109","22",54,84.53333333
"110","22",55,92.18333333
"111","22",56,91.66666667
"112","23",53,102.1333333
"113","23",54,101.0833333
"114","23",55,98.16666667
"115","23",56,106.3333333
"116","23",57,105
"117","23",58,110.9833333
"118","24",55,99.08333333
"119","24",56,103.9333333
"120","24",57,103.8166667
"121","24",58,105.9166667
"122","24",59,111.1666667
"123","24",60,112.9666667
"124","25",51,98.43333333
"125","25",52,109.8333333
"126","25",55,105.7333333
"127","25",56,98.93333333
"128","25",57,94.48333333
"129","26",51,83.41666667
"130","26",52,82.71666667
"131","26",53,84.6
"132","26",54,87.35
"133","26",55,87.76666667
"134","27",50,91.96666667
"135","27",51,92.3
"136","27",52,92.46666667
"137","27",53,102.5
"138","27",55,105.5333333
"139","27",56,106.1333333
"140","28",50,72.15
"141","28",51,76.13333333
"142","28",52,77.91666667
"143","28",53,75.1
"144","28",54,74.76666667
"145","29",55,62.71666667
"146","29",56,62.46666667
"147","29",57,61.51666667
"148","29",58,63.28333333
"149","29",59,63.98333333
"150","29",60,64.36666667
"151","30",55,62.28333333
"152","30",56,63.63333333
"153","30",57,65.96666667
"154","30",58,66.15
"155","30",59,73.48333333
"156","30",60,67.8
"157","31",52,77.31666667
"158","31",53,88
"159","31",54,80.3
"160","31",55,82.8
"161","31",56,84.31666667
"162","32",51,76.06666667
"163","32",52,75.2
"164","32",53,79.53333333
"165","32",55,81.58333333
"166","32",57,80.93333333
"167","33",56,90.06666667
"168","33",58,85.71666667
"169","33",59,83.76666667
"170","33",60,83
"171","34",54,70.53333333
"172","34",55,74.01666667
"173","34",56,73.03333333
"174","34",57,80.76666667
"175","34",58,80.76666667
"176","35",53,85.75
"177","35",54,85.01666667
"178","35",55,83.91666667
"179","35",56,90.03333333
"180","35",58,89.96666667
"181","35",59,87.15
"182","36",53,105.75
"183","36",54,103.0166667
"184","36",56,105.4166667
"185","36",57,115.7666667
